example_id,dataset,domain,prediction,auto_number_recall,auto_spurious_number_rate,unsupported_addition,omission,contradiction,entity_or_number_mutation,non_translation,repetition,fluency_only,severity,review_status,notes
ntrex:1655:zho_Hans,ntrex128,news,"保守派后卫彼得· (Peter Bone) 在伯明翰的游行中表示,如果法拉奇先生是英国脱欧部长,",0.0,0.0,False,True,True,False,False,False,False,major,reviewed,"Backbencher is mistranslated, and the output stops before the main claim that the UK would already have left."
ntrex:0044:zho_Hans,ntrex128,news,"官员说,在加利福尼亚州鱼季节开赛日,一条鱼袭击并伤害了一名13岁的男孩,",1.0,0.0,False,True,True,True,False,False,False,major,reviewed,Shark and lobster season are weakened to fish/fish season; the diving context and Saturday are omitted.
ntrex:0175:zho_Hans,ntrex128,news,"肯定的是,17世纪中叶的冲突塑造了我们国家的后续发展,",1.0,0.0,False,True,False,False,False,False,False,minor,reviewed,The entire Cromwell clause is omitted.
ntrex:1320:zho_Hans,ntrex128,news,"在她的信中,弗里曼女士写道:""在夏季期间,英国和欧盟之间的退出谈判继续进行,",,0.0,False,True,False,False,False,False,False,major,reviewed,The expected autumn decisions are omitted from the truncated output.
ntrex:0816:zho_Hans,ntrex128,news,"罗杰斯说:""这是一个盖格计数器,用于找到放射性矿物质,如.",,0.0,False,True,False,False,False,False,False,minor,reviewed,The example mineral uranium is missing and the sentence ends after an incomplete 'such as'.
ntrex:0960:zho_Hans,ntrex128,news,"""我的意思是,当然"",肯尼迪说.",,0.0,False,False,False,False,False,False,False,none,reviewed,Meaning and attribution are preserved.
ntrex:1683:zho_Hans,ntrex128,news,马萨诸塞州民主党人周六在马萨诸塞州西部的一个市政厅谈到了她的未来.,,0.0,False,True,False,False,False,False,False,minor,reviewed,The Boston Globe attribution is omitted; the reported event is retained.
ntrex:1292:zho_Hans,ntrex128,news,"一位政府发言人说:""我们已经提出了与欧盟的未来关系的准确可靠计划.",,0.0,False,False,False,False,False,False,False,none,reviewed,"The plan, credibility claim, and EU relationship are preserved."
ntrex:1667:zho_Hans,ntrex128,news,"反对派不会投票支持它, 我们的党和活动家不喜欢它,",,0.0,False,True,False,False,False,False,False,major,reviewed,The public-opinion clause and activists' electoral role are omitted.
ntrex:1970:zho_Hans,ntrex128,news,"我非常感谢托马斯选择了我,相信我.",,0.0,False,False,False,False,False,False,False,none,reviewed,"Selection, gratitude, and belief are preserved."
tico19:PubMed_11:1058,tico19,medical,"2019年12月,2019年新型冠状病毒 (2019-nCoV) 引发了疫情,现在正式命名为2019年新型冠状病毒疾病 (COVID-19) ,病毒已被命名为严重急性呼吸道综合征冠状病毒2 (SARS-CoV-2).",1.0,0.0,False,False,False,False,False,False,False,none,reviewed,"Disease and virus names, dates, and abbreviations are preserved."
tico19:PubMed_8:599,tico19,medical,"在活动物市场上,蒙面的棕树 (Paguma larvata) 和狗首次被发现携带与SARS-CoV几乎相同的SARS-CoV类似病毒.",,0.0,False,False,True,True,False,False,False,major,reviewed,Masked palm civet and raccoon dog are mistranslated as a palm tree and a generic dog.
tico19:Wikipedia_handpicked_4:1712,tico19,medical,在服用药物或医疗保健之前洗手可以防止或减少疾病的传播.,,0.0,False,False,True,False,False,False,False,major,reviewed,"Administering medicine is changed to taking medicine, altering the action and likely actor."
tico19:PubMed_8:564,tico19,medical,"另一方面, COVID-19 严重病例的小部分也可以看到 SARS-CoV 感染情况,尽管比例略低.",1.0,0.0,False,False,False,False,False,False,True,minor,reviewed,"Core comparison and lower ratio are present, but the Chinese phrasing is awkward."
tico19:PubMed_7:213,tico19,medical,"随着情况的迅速发展,疫情的最终范围和严重程度尚未确定.",,0.0,False,False,False,False,False,False,False,none,reviewed,Rapid change and unresolved scope/severity are preserved.
tico19:Wikipedia_handpicked_3:1672,tico19,medical,"武汉实验室在深,天津,北京和上海,",0.0,0.0,False,True,False,True,False,False,False,major,reviewed,"The output truncates Shenzhen, omits the Huo-Yan lab relation, and drops the total of 12 cities."
tico19:PubMed_7:412,tico19,medical,"一个加拿大小组报告说, SARS-CoV-2 在2周前恢复并离开医院的患者中部轮和喉扫描中被检测到,这表明新发现的病毒可能成为类似流感的周期性事件.",1.0,0.0,False,False,True,True,False,False,False,major,reviewed,"Mid-turbinate and throat swabs are mistranslated as a wheel and throat scan, corrupting clinical sampling details."
tico19:Wikipedia_handpicked_7:2033,tico19,medical,"高风险的工作包括提供医疗保健,支持,实验室和医疗运输工作者,他们接触到已知或怀疑的COVID-19患者.",1.0,0.0,False,False,False,False,False,False,False,none,reviewed,The listed occupations and exposure condition are preserved.
tico19:PubMed_8:542,tico19,medical,2012年首次从沙特阿拉伯患急性肺炎和脏衰竭的60岁患者肺部中隔离MERS-CoV.,1.0,0.0,False,False,True,True,False,False,False,major,reviewed,Renal failure is changed to an incomplete generic organ-failure phrase; dates and age remain correct.
tico19:Wikipedia_handpicked_1:1524,tico19,medical,"这位消息人士指责俄罗斯开始""地缘政治和外交""的魅力攻势.",,0.0,False,False,False,False,False,False,False,none,reviewed,Russia and the geopolitical/diplomatic charm-offensive claim are preserved.
